,age,comment,commodities,commodities_string,geometry,id,latitude,longitude,name
29,,B4upd<500m(14):-Minloc,['Cu'],Cu,POINT (137.7847882 -17.18132953),333325,-17.18132953,137.7847882,Bluff
30,,"At Mount Madden, 120 Km Nw Of Mareeba.",['Au'],Au,POINT (145.4344058 -16.99548675),333326,-16.99548675,145.4344058,Mount Madden
31,,nan,['Au'],Au,POINT (122.4647211 -29.4360656),333327,-29.436065600000003,122.46472109999999,Kangaroo Bore
32,,B4upd<500m(5):-Deposit Located Northeast Of Ora Banda;,['Ni'],Ni,POINT (121.457035 -31.18225534),333328,-31.18225534,121.457035,East Scotia
33,,Minmet Lats & Longs; At Eaglehawk,['Au'],Au,POINT (144.251326 -36.72881441),333329,-36.72881441,144.251326,York & Durham
34,,B4upd<10km(.6):-,['Au'],Au,POINT (121.7403542 -31.55174122),333330,-31.55174122,121.74035420000001,Duke
35,,B4upd<10km(.7):-85km Wnw Of Mt Garnet. Geological Survey Of Queensland Record 1987/29. Location Is Unsure Of.,['Sn'],Sn,POINT (144.3310082 -17.45159229),333331,-17.45159229,144.33100819999999,Tate River
36,Archean,nan,['Au'],Au,POINT (120.9409 -27.5148),333335,-27.5148,120.9409,Success - Mt McClure
37,,nan,['Au'],Au,POINT (144.6048905 -16.57680045),333336,-16.57680045,144.6048905,Hurricane
38,Archean,Centroid Of Plan View Of Orebody Based On Mine Grid; Accuracy 11 To 50 Metres;,['Au'],Au,POINT (122.5764 -31.2131),333337,-31.2131,122.5764,French Kiss
39,,Located In The Flinders Ranges,['Fe'],Fe,POINT (138.0346347 -31.34561586),333339,-31.34561586,138.03463469999997,Donnellys Comstock
40,Archean,nan,['Au'],Au,POINT (121.1823 -28.3414),333340,-28.3414,121.1823,Wonder North
41,,nan,"['Zn', 'Cu']",Zn;Cu,POINT (127.3087 -18.4366),333342,-18.4366,127.3087,Emull
42,,"Prospect Occurs Within A Single Mining Lease (M80/40), 28 Km South Of Turkey Creek.",['REE'],REE,POINT (128.2012906 -17.34580354),333344,-17.34580354,128.2012906,John Galt
43,,nan,"['Ag', 'Au']",Ag;Au,POINT (145.0752 -17.6601),333345,-17.6601,145.0752,Triple Crown
44,Archean,nan,['Au'],Au,POINT (121.3919 -30.8256),333346,-30.8256,121.3919,Navajo Chief
45,,nan,"['Ag', 'Au']",Ag;Au,POINT (146.7848746 -20.09535832),333347,-20.09535832,146.7848746,Podosky's Prospect
46,,Minloc Location,['Au'],Au,POINT (131.9634449 -14.08102993),333349,-14.08102993,131.9634449,Woolgni
47,,"Abednego Nickel Project Is Adjacent To Murrin Murrin 8 & 9 Ore Zone. Project Acquired By Anaconda Nickel Limited In Early 1999. 60 kms NE of Leonora. Resources fully integrated with Murrin Murrin
Co-Ordinates according from Minedex based on Abednego deposit","['Ni', 'Co']",Ni;Co,POINT (121.8547164 -28.78172229),333352,-28.78172229,121.85471640000002,Abednego
48,,nan,['Au'],Au,POINT (118.8067602 -28.83537186),333353,-28.83537186,118.8067602,Youangarra
49,,North Of Mildura,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (142.3299779 -33.45700732),333354,-33.45700732,142.32997790000002,Gallipoli
50,,nan,"['W', 'Sn']",W;Sn,POINT (145.2246744 -16.60769405),333355,-16.60769405,145.2246744,Station Creek
51,,Location From Gazetter Of Australia.,['Fe'],Fe,POINT (135.7713832 -34.59572836),333356,-34.59572836,135.7713832,Greenpatch Magnetite -  (Centrex)
52,,nan,['Mn'],Mn,POINT (122.515001 -28.779007),333357,-28.779007,122.515001,Laverton - Mount Lucky
53,,"Deposit location coincides with the Trapper zone. All zones are undeveloped at this stage. There are about 5 zones that constitute constitute Alchemy Res. Ltd's Hermes deposit, Trapper being the most significant. This was Troy Resources Three Rivers Project.",['Au'],Au,POINT (118.9098 -25.5845),333359,-25.5845,118.9098,Hermes
54,,nan,['Au'],Au,POINT (142.7693472 -37.04853825),333361,-37.04853825,142.76934719999997,Manchester Reef
55,Devonian,nan,"['Au', 'Sb']",Au;Sb,POINT (144.801 -36.8936),333362,-36.8936,144.80100000000002,Costerfield Mh Zone
56,,Part of Wallbrook project,['Au'],Au,POINT (122.310349 -29.858093),333364,-29.858093,122.310349,Crusader
57,,nan,['Au'],Au,POINT (119.687576 -32.43013),333365,-32.43013,119.687576,Lounge Lizard
58,,Part of Northcote project,['Au'],Au,POINT (145.196383 -16.995711),333366,-16.995711,145.196383,East Leadingham
59,,nan,['Au'],Au,POINT (121.923427 -29.494707),333367,-29.494707000000002,121.923427,McAuliffe Well
60,,"Owned by Cable Sands, resources are confidential","['Ti', 'Zr']",Ti;Zr,POINT (120.790619 -33.872894),333368,-33.872894,120.79061899999999,Oldfield Inlet
61,,operated by Bemax in 2006,"['Ti', 'Zr']",Ti;Zr,POINT (115.488983 -33.589615),333369,-33.589615,115.488983,Ludlow
62,unknown,nan,['Cu'],Cu,POINT (137.8531926 -17.67362565),333370,-17.67362565,137.8531926,Norris
63,Archean,nan,"['Au', 'Cu']",Au;Cu,POINT (120.1983 -33.6789),333372,-33.6789,120.1983,Harbour View North - Kundip
64,,Coordinates Given Are For The Town Of Mittagong;,['Fe'],Fe,POINT (150.4511671 -34.44528452),333373,-34.44528452,150.4511671,Mittagong-Picton
65,,nan,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (115.93924 -32.769043),333374,-32.769042999999996,115.93923999999998,Coolup
66,,nan,['Au'],Au,POINT (150.1012125 -35.97862975),333375,-35.97862975,150.1012125,Bergalia
67,,nan,['Au'],Au,POINT (120.561096 -27.819214),333376,-27.819214000000002,120.56109599999999,Maria
68,Archean,nan,['Au'],Au,POINT (118.4337 -27.0708),333377,-27.0708,118.4337,Banderol
69,,nan,['Au'],Au,POINT (122.1566 -29.68173),333378,-29.681729999999998,122.1566,Golden Rainbow
70,Archaean,"See A1 Minerals 'Bright Star Delta' Deposit. Mineralisation occurs at Delta1 (Cork Tree Well), Delta North, New North, Paleochannels, and Delta2.",['Au'],Au,POINT (122.4044 -28.3386),333380,-28.3386,122.4044,Cork Tree Well
71,Proterozoic,nan,"['Ag', 'Au']",Ag;Au,POINT (131.8287177 -13.82566225),333381,-13.82566225,131.82871770000003,Pine Creek
72,Palaeozoic,nan,['Au'],Au,POINT (148.0159886 -33.37989232),333382,-33.37989232,148.0159886,Forbes
73,Triassic,nan,['Au'],Au,POINT (152.1699719 -26.07683214),333384,-26.07683214,152.1699719,Kilkivan
74,Permian,279+-3 Ma,"['W', 'Sn']",W;Sn,POINT (145.1318752 -16.51829604),333386,-16.51829604,145.1318752,Mount Carbine
75,Archaean,"2927 ± 13 Ma - Sm-Nd isochron age of mineral separates for samples from PGE-bearing porphyritic websterite layer and gabbroic zone. See Hoatson and Sun (2002) - Economic Geology 97, p. 847-892.
2925 ± 16 Ma - Ferrogabbro pegmatite near contact of ultramafic-gabbroic zone is interpreted to be coeval with layered stratigraphy of intrusion. See Arndt et al. (1991) - Australian Journal of Earth Sciences 38, p. 261-281.
Also see references #572 and #1755.


","['Ni', 'Au', 'Cu', 'PGE']",Ni;Au;Cu;PGE,POINT (116.8500349 -21.11736634),333387,-21.11736634,116.85003490000001,Munni Munni
76,Proterozoic,1550 - 1650 Ma ?,['U'],U,POINT (132.9184626 -12.67353859),333388,-12.67353859,132.9184626,Ranger
77,Proterozoic,nan,['Au'],Au,POINT (134.529982 -30.69713548),333390,-30.69713548,134.52998200000002,Tarcoola
78,Palaeoproterozoic,1830 Ma,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (134.1500106 -19.62710875),333391,-19.62710875,134.1500106,TC8
79,Archaean,nan,"['Ag', 'Au']",Ag;Au,POINT (121.3228 -28.8976),333392,-28.8976,121.3228,Tower Hill
80,Palaeozoic,nan,"['Zn', 'Pb']",Zn;Pb,POINT (124.6280201 -17.17365405),333393,-17.17365405,124.62802009999999,Wagon Pass
81,Proterozoic,nan,"['Ni', 'Co']",Ni;Co,POINT (140.4910139 -21.73602667),333395,-21.73602667,140.49101389999998,Mount Cobalt
82,Proterozoic,Mined out,['Au'],Au,POINT (139.92562 -21.64893085),333396,-21.64893085,139.92562,Tick Hill
83,Permian,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (151.7060267 -25.18447038),333397,-25.18447038,151.7060267,Mount Perry
84,Carboniferous,nan,['Sn'],Sn,POINT (144.9276927 -17.5318846),333399,-17.5318846,144.9276927,Gilmore
85,Palaeoproterozoic,nan,"['Cu', 'Co']",Cu;Co,POINT (139.4783449 -20.74339211),333400,-20.74339211,139.4783449,Mount Isa (Cu orebodies)
86,Late Ordovician,nan,['Au'],Au,POINT (144.3660131 -37.2469903),333401,-37.2469903,144.3660131,Lauriston Goldfield
87,Early Devonian,nan,['Cu'],Cu,POINT (145.8589282 -32.88099542),333402,-32.88099542,145.85892819999998,Great Central-Comet
88,Silurian,nan,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (149.2671723 -33.26131325),333403,-33.26131325,149.26717230000003,Lewis Ponds
89,Palaeoproterozoic,about 1690 Ma,"['Ag', 'Zn', 'Pb']",Ag;Zn;Pb,POINT (141.5013 -31.9317),333404,-31.9317,141.5013,Potosi
90,Proterozoic,nan,['Cu'],Cu,POINT (139.9751985 -20.90555992),333406,-20.90555992,139.9751985,Amy
91,Proterozoic,nan,['Cu'],Cu,POINT (139.8402004 -20.81556204),333407,-20.81556204,139.8402004,Edna May
92,Proterozoic,nan,['Cu'],Cu,POINT (139.0851874 -19.36459041),333409,-19.36459041,139.0851874,O.P.
93,Proterozoic,nan,['Cu'],Cu,POINT (140.4720144 -21.77602673),333410,-21.77602673,140.4720144,Stuart
94,Proterozoic,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (139.9030999 -21.47795731),333411,-21.47795731,139.9030999,Trekelano
95,Palaeozoic,probably Siluro-Devonian; ref *11698,"['Ag', 'Au', 'Pb']",Ag;Au;Pb,POINT (143.4742095 -18.28610021),333413,-18.28610021,143.4742095,Durham
96,Pliocene,nan,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (141.34436 -33.13064),333415,-33.13064,141.34436000000002,Massidon
97,Archaean,nan,['Au'],Au,POINT (118.1168 -27.4867),333417,-27.4867,118.1168,Tuckabianna Project
98,Archaean,nan,['Au'],Au,POINT (122.4141 -29.2166),333418,-29.2166,122.4141,Red October
99,Archaean,2660-2620Ma,['Au'],Au,POINT (121.7756464 -31.31673686),333419,-31.31673686,121.77564640000001,Santa Ana
100,Archaean,Deposit consists of the Alpha and Phi lodes,['Au'],Au,POINT (121.2328 -30.1883),333420,-30.1883,121.2328,Aphrodite
101,,nan,['Au'],Au,POINT (148.8826179 -37.18590843),333425,-37.18590843,148.8826179,Bendoc
102,,Coordinates Are For Goulburn Population Centre,['Fe'],Fe,POINT (149.7178471 -34.74531007),333426,-34.74531007,149.7178471,Goulburn
103,,nan,['Mn'],Mn,POINT (120.90348 -22.08528),333427,-22.085279999999997,120.90348,Bee Hill
104,,"B4upd<10km(1.8):-Leases Encompassing The Old Burraga Copper Mine, 80km South Of Bathurst In Nsw.","['Zn', 'Cu']",Zn;Cu,POINT (149.5353792 -33.96161159),333428,-33.96161159,149.5353792,Burraga
105,,80 Km West Of Grafton On Nsw'S North Coast.,['Au'],Au,POINT (152.4441178 -29.91189856),333429,-29.91189856,152.44411780000001,Dalmorton
106,,nan,['Au'],Au,POINT (143.5505515 -18.29272073),333430,-18.29272073,143.55055149999998,Georgetown
107,,"Centroid Of Plan View Of Orebody From 1:10 000 Geological Map; Accuracy 251-500 Metres;
Woolgar Project.","['U', 'Au']",U;Au,POINT (143.3891806 -19.77632271),333431,-19.77632271,143.38918059999997,Lost World
108,,nan,['Au'],Au,POINT (144.5054839 -36.71908659),333432,-36.71908659,144.5054839,Harringtons Hill
109,,nan,['Fe'],Fe,POINT (117.2397322 -26.05396151),333433,-26.05396151,117.23973219999999,Mount Hale
110,,nan,['Au'],Au,POINT (118.0842362 -27.10227033),333434,-27.10227033,118.08423619999999,Maybelle North
111,,nan,['Au'],Au,POINT (118.9016778 -21.08930888),333439,-21.08930888,118.90167779999999,Zakanaka
112,,nan,['Au'],Au,POINT (121.4194 -28.934),333440,-28.934,121.4194,Leonardo
113,,nan,['Au'],Au,POINT (121.9656229 -28.63631808),333441,-28.63631808,121.9656229,Mount Korong
114,,nan,['Au'],Au,POINT (143.746527 -37.08666649),333442,-37.08666649,143.74652700000001,Long Gully
115,,nan,['Sn'],Sn,POINT (143.0025035 -13.31014285),333443,-13.31014285,143.0025035,Wolverton
116,Archean,Any 2012 resources are reported in the agglomerated figures for the Tindals Project.,['Au'],Au,POINT (121.1707 -30.9895),333444,-30.9895,121.1707,Empress/Alicia
117,Archean,The deposit is part of Westgold Resources Cuddingwarra project.,['Au'],Au,POINT (117.8015 -27.3686),333449,-27.3686,117.8015,Golden Gate - Cuddingwarra
118,,nan,['Au'],Au,POINT (143.9855933 -37.20572835),333450,-37.20572835,143.98559330000003,Bosuns
119,,nan,"['Ag', 'Au', 'Cu', 'Zn']",Ag;Au;Cu;Zn,POINT (146.8879511 -20.08454574),333452,-20.08454574,146.88795109999998,Copper Knob
120,,Centroid Of Plan View Of Orebody Located From 1:10 000 Geological Sheet; Accuracy 251 To 500 Metres;,['Au'],Au,POINT (143.3919576 -19.78937864),333453,-19.78937864,143.39195759999998,Explorer
121,,nan,['Au'],Au,POINT (146.7344879 -43.04459957),333456,-43.04459957,146.7344879,Forster
122,,32 Km South Of Charters Towers In North Queensland.,['Au'],Au,POINT (146.2677418 -20.07876757),333457,-20.07876757,146.2677418,Merriland
123,Archean,Davyhurst Mill,['Au'],Au,POINT (120.5285 -29.881),333458,-29.881,120.5285,Giles
124,,nan,['Au'],Au,POINT (118.8183538 -28.59365775),333459,-28.59365775,118.8183538,Commonwealth
125,,nan,['Au'],Au,POINT (144.5097 -36.6669),333460,-36.6669,144.5097,Sharkeys Open Pit
126,Archean,Part of Gidgee project,['Au'],Au,POINT (119.3819 -27.0305),333463,-27.0305,119.3819,Snook North
127,Archean,Part of Gidgee project,['Au'],Au,POINT (119.4626 -27.3797),333464,-27.3797,119.4626,Heron South
128,Archean,Part of the Katanning Project in which Ausgold is acquiring 80% equity.,['Au'],Au,POINT (117.9037 -33.5418),333465,-33.5418,117.9037,White Dam - Katanning
129,,Part of the Gwindinup project of Cable Sands,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (115.582321 -33.697113),333466,-33.697113,115.582321,Happy Valley South
130,,Undeveloped deposit owned by Cable Sands,"['Ti', 'Zr']",Ti;Zr,POINT (115.460648 -33.575455),333467,-33.575455,115.46064799999999,Forrest Beach
131,,Operating mine South of Waroona,"['Ti', 'Zr']",Ti;Zr,POINT (115.923126 -32.88763400000001),333468,-32.887634000000006,115.923126,Waroona South (Cable)
132,,nan,"['Ti', 'Zr']",Ti;Zr,POINT (115.357819 -33.694641),333469,-33.694641,115.35781899999999,Busselto-Vines V
133,Archaean,nan,"['Ni', 'Cu']",Ni;Cu,POINT (121.0878362 -31.07116158),333470,-31.07116158,121.0878362,Miriam
134,Late Cambrian,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (145.5897 -42.038),333471,-42.038000000000004,145.5897,Lyell Comstock
135,,B4upd<10km(1.5):-,['Fe'],Fe,POINT (149.1470821 -33.61841883),333473,-33.61841883,149.1470821,Carcoar
136,Paleoproterozoic,nan,['Au'],Au,POINT (131.3639 -13.5257),333474,-13.5257,131.3639,Chinese South
137,Archean,"Gold occurs in  saprock and Archaean bedrock, and also in palaeochannel deposits. Moolart Well is composed of the following adjacent deposits:Boston, Blenheim, Mosquito, Halifax, Wellington, Stirling North, Stirling, Lancaster North, and Lancaster.",['Au'],Au,POINT (122.3479 -27.6112),333475,-27.6112,122.3479,Moolart Well
138,,nan,['Au'],Au,POINT (118.7086 -25.7541),333476,-25.7541,118.7086,Durack
139,,nan,['Au'],Au,POINT (122.491943 -28.169668),333477,-28.169667999999998,122.49194299999999,Scotland Yet
140,,145km NW of Newman,['Fe'],Fe,POINT (118.511063 -22.554504),333478,-22.554504,118.511063,Juna Lockyer
141,,B4upd<500m(8):-Minloc,['Cu'],Cu,POINT (137.7268441 -33.95256432),333480,-33.95256432,137.7268441,Kadina
142,,This is an historic mine with global resources reported based on past production.  No current resources.,['Au'],Au,POINT (143.25762 -36.61453),333481,-36.61453,143.25762,Lord Nelson
143,,nan,['Au'],Au,POINT (143.83411 -37.06865999999999),333482,-37.068659999999994,143.83411,Leviathan
144,,nan,['Au'],Au,POINT (120.55724 -27.53061),333483,-27.53061,120.55724,Kathleen Valley
145,Silurian,425.0+-4.5 Ma; ref *15713,"['Au', 'Cu']",Au;Cu,POINT (149.1588 -33.5265),333484,-33.5265,149.1588,Browns Creek
146,Early Devonian,nan,"['Ag', 'Zn', 'Bi', 'Cu', 'Sb', 'Pb', 'Au']",Ag;Zn;Bi;Cu;Sb;Pb;Au,POINT (145.6537957 -31.1629209),333485,-31.162920899999996,145.6537957,Endeavor
147,Middle Devonian,nan,"['Ag', 'Au', 'Bi', 'Cu']",Ag;Au;Bi;Cu,POINT (150.3749863 -23.63555924),333486,-23.63555924,150.37498630000002,Mount Morgan
148,Palaeozoic,nan,"['Ag', 'Au', 'Cu', 'Pb']",Ag;Au;Cu;Pb,POINT (149.7536844 -36.22382481),333487,-36.22382481,149.7536844,Nerrigundah
149,Archaean,nan,['Au'],Au,POINT (119.0159957 -31.39748399),333488,-31.39748399,119.01599569999999,Palmers Find
150,Quaternary,"Iluka announced Dec 2008 the closure of this mine
Resources for this deposit in Iluka total for SW WA","['Ti', 'Zr']",Ti;Zr,POINT (115.9386046 -32.82652834),333489,-32.82652834,115.93860459999999,Waroona Shoreline
151,Carboniferous,nan,"['Ag', 'Au']",Ag;Au,POINT (147.2699899 -21.11692783),333490,-21.11692783,147.26998989999998,Wirralie
152,Triassic,220 Ma?,"['Cu', 'Mo']",Cu;Mo,POINT (150.6937203 -22.99810768),333493,-22.99810768,150.69372030000002,Yeppoon
153,Devonian,nan,['Sn'],Sn,POINT (147.8865335 -41.82907361),333494,-41.82907361,147.88653349999998,Royal George
154,unknown,nan,['Fe'],Fe,POINT (148.2008451 -37.45188047),333496,-37.45188047,148.20084509999998,Buchan
155,Early Palaeozoic,nan,"['Ag', 'Au', 'Zn', 'Pb']",Ag;Au;Zn;Pb,POINT (149.2610024 -33.77827496),333497,-33.77827496,149.2610024,Kempfield
156,Archaean,nan,"['PGE', 'Ta', 'Sn']",PGE;Ta;Sn,POINT (116.06683 -33.85584603),333503,-33.85584603,116.06683000000001,Greenbushes
157,Ordovician,nan,['Au'],Au,POINT (144.5088 -36.6734),333504,-36.6734,144.5088,Robbins Hill Open Pit
158,Proterozoic,nan,['Cu'],Cu,POINT (139.1131956 -19.99058674),333505,-19.99058674,139.1131956,Boomerang
159,Proterozoic,nan,['Cu'],Cu,POINT (139.8081852 -19.67456094),333506,-19.67456094,139.8081852,Hidden Treasure
160,Proterozoic,nan,['Cu'],Cu,POINT (139.4791937 -20.82258051),333507,-20.82258051,139.4791937,Native Bee
161,Proterozoic,nan,['Cu'],Cu,POINT (139.8361909 -20.2195654),333508,-20.219565399999997,139.8361909,Queen Elizabeth
162,Proterozoic,nan,['Cu'],Cu,POINT (140.508012 -21.52302696),333509,-21.52302696,140.508012,Selwyn
163,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (140.0001865 -20.16156344),333510,-20.16156344,140.0001865,Surprise
164,Devonian,Devonian age inferred from similarity with Charters Towers,['Au'],Au,POINT (146.6120071 -20.10037636),333513,-20.10037636,146.6120071,Hadleigh Castle
165,unknown,Mineralisation is most likely Archean but overprinted/remobilised during the Proterozoic Eon,['Au'],Au,POINT (119.7465 -25.1024),333514,-25.1024,119.7465,K1
166,Archaean,nan,['Au'],Au,POINT (120.5889159 -26.36966825),333515,-26.36966825,120.5889159,Nim 7
167,Archaean,nan,['Au'],Au,POINT (121.403543 -30.83614108),333516,-30.83614108,121.403543,Centurion
168,,nan,['Cu'],Cu,POINT (144.1177755 -17.02883162),333517,-17.02883162,144.1177755,Cardross
169,,B4upd<10km(2.3):-Deposit Is Located 10 Km Southeast Of Burnie;,['Fe'],Fe,POINT (145.9539676 -41.13869343),333518,-41.13869343,145.9539676,Blythe River
170,,The Deposit Is Referred To As Anderson Creek-Beaconsfield Nickel -Cobalt Project (See Anderson Creek For Resources) Close To Beaconsfield Gold Deposit. Used To Be Known As Anderson Creek,"['Ni', 'Co']",Ni;Co,POINT (146.778861 -41.215611),333519,-41.215610999999996,146.778861,"Barnes Hill Nickel (Beaconsfield, Anderson Creek Ni)"
171,Archean,See Sunrise Dam deposit  - AngloGold Ashanti as this record relates to the Barrick and earlier era,['Au'],Au,POINT (122.4278113 -29.07386137),333522,-29.07386137,122.42781129999999,Sunrise
172,,Deposit Located 8 Km North Of Wilgena;,['Fe'],Fe,POINT (134.717987 -30.69571254),333523,-30.69571254,134.71798700000002,Wilgena Hill
173,Archean,nan,['Au'],Au,POINT (118.347 -26.8888),333524,-26.8888,118.34700000000001,Nannine Mine
174,,B4upd<500m(4):-,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (117.7045 -20.75711),333525,-20.75711,117.7045,Salt Creek
175,,nan,"['Ni', 'Cu', 'Co']",Ni;Cu;Co,POINT (121.5058833 -31.3505512),333527,-31.350551199999998,121.5058833,Spargoville - Location 5a
176,,Located 85 Km West North West Of Townsville,['Fe'],Fe,POINT (145.851077 -19.09545057),333528,-19.09545057,145.851077,Willets Knob
177,,Location Based On Mount Christie Railway Siding;,['Fe'],Fe,POINT (133.2179977 -30.54575343),333529,-30.54575343,133.21799769999998,Mount Christie
178,Archean,nan,['Au'],Au,POINT (120.96221 -27.4704),333532,-27.4704,120.96221000000001,Anomaly 45
179,,nan,['Sn'],Sn,POINT (145.3010656 -16.27849957),333534,-16.27849957,145.3010656,China Camp
180,,nan,['Sn'],Sn,POINT (145.9680766 -19.27844902),333535,-19.27844902,145.9680766,Running Creek
181,,nan,['Au'],Au,POINT (144.2698281 -36.81188155),333536,-36.81188155,144.26982809999998,Saint Kilda
182,,35 Km Sw Of Horsham; Co-Ordinates Provided By Wim,"['REE', 'Ti', 'Th', 'Zr']",REE;Ti;Th;Zr,POINT (141.6013771 -36.96224006),333537,-36.96224006,141.6013771,Wim 100
183,,nan,['Sn'],Sn,POINT (148.0552322 -36.44036578),333538,-36.44036578,148.0552322,Surveyors Creek
184,,nan,['Au'],Au,POINT (121.7075603 -32.24197049),333540,-32.24197049,121.70756029999998,Abbotshall
185,,nan,['Au'],Au,POINT (119.3367341 -28.02254878),333542,-28.02254878,119.3367341,Bull Oak
186,,nan,['Au'],Au,POINT (143.3878243 -19.73048989),333544,-19.73048989,143.3878243,Soapspar
187,Archean,nan,['Au'],Au,POINT (120.9978 -27.3852),333546,-27.3852,120.9978,Bronzewing Group
188,,100 Km Sw Of Norseman,"['V', 'Ti']",V;Ti,POINT (120.7964497 -32.5306137),333548,-32.530613699999996,120.7964497,Medcalf
189,,nan,['Fe'],Fe,POINT (120.0574437 -20.45897984),333550,-20.45897984,120.0574437,Sunrise Hill
190,,nan,['U'],U,POINT (138.1181986 -17.50261259),333551,-17.50261259,138.1181986,Huarabagoo
